Date,round,winnerP1,HP1,HP2,Depth P1,DepthP2,AvgTimeBEGP1,AvgIterBEGP1,AvgTimeBEGP2,AvgIterBEGP2,AvgTimeMBMGP1,AvgIterMBMGP1,AvgTimeMBMGP2,AvgIterMBMGP2
23/11/2022,9,False,False,True,1,1,,,,,0.01674055999937991,323.4,,
23/11/2022,4,True,False,True,2,2,,,,,0.1585184000001997,3208.6666666666665,,
29/11/2022,11,False,False,False,2,2,,,,,0.10678256666650061,2128.3333333333335,0.09063238333343786,1806.0
29/11/2022,11,False,False,False,2,2,,,,,0.12020468333328911,2128.3333333333335,0.0980046833334048,1806.0
29/11/2022,17,False,False,False,2,2,,,,,0.07934538888897198,1574.7777777777778,0.0813202777778012,1630.7777777777778
29/11/2022,36,True,False,False,2,2,,,,,0.04810337894732105,932.5263157894736,0.055516872222167675,1056.4444444444443
29/11/2022,19,False,False,False,2,2,,,,,0.09862058999992769,1606.9,0.08399770999994871,1481.9
29/11/2022,11,False,False,False,2,2,,,,,0.10237396666669459,2128.3333333333335,0.08601898333336067,1806.0
29/11/2022,11,False,False,False,2,2,,,,,0.10324128333316669,2128.3333333333335,0.08646900000000339,1806.0
29/11/2022,11,False,False,False,2,2,,,,,0.10249269999993278,2128.3333333333335,0.08647306666678863,1806.0
29/11/2022,11,False,False,False,2,2,,,,,0.1026348833333941,2128.3333333333335,0.08592656666670943,1806.0
29/11/2022,123,False,False,False,3,3,,,,,0.9063383725806415,15662.838709677419,0.9635812580645653,16261.967741935483
30/11/2022,13,False,True,False,2,4,,,,,,,2.3522710857142783,46196.0
30/11/2022,5,False,True,False,2,4,,,,,,,7.886311233333345,158068.66666666666
30/11/2022,23,False,True,False,2,4,,,,,,,1.3999664749999852,28170.5
30/11/2022,11,False,True,False,2,4,,,,,,,3.5789425666666452,72643.83333333333
30/11/2022,16,True,True,False,2,4,,,,,,,5.945652337499993,118019.5
02/12/2022,160,True,False,False,3,3,,,,,1.050716365432098,17796.506172839505,0.8740611012500011,14695.9375
02/12/2022,65,False,False,False,3,3,,,,,0.9350373696969712,16356.818181818182,0.941813575757574,16358.272727272728
02/12/2022,24,True,False,True,2,2,,,,,0.12345499230769298,2052.153846153846,,
02/12/2022,10,True,False,True,2,2,,,,,0.15136156666666759,2568.8333333333335,,
02/12/2022,11,False,False,True,1,2,,,,,0.023327283333333487,342.8333333333333,,
02/12/2022,8,True,False,True,1,2,,,,,0.02443111999999985,363.2,,
02/12/2022,11,False,False,True,1,2,,,,,0.024875816666667088,354.1666666666667,,
02/12/2022,6,True,False,True,2,2,,,,,0.19007102499999995,3210.75,,
29/12/2022,4,True,False,True,2,2,,,,,0.22542610000042865,3808.6666666666665,,
29/12/2022,4,True,False,True,3,2,,,,,2.1047032000000008,38656.333333333336,,
29/12/2022,10,True,False,True,3,2,,,,,1.6551398166666658,28458.666666666668,,
29/12/2022,7,False,True,False,2,3,,,,,,,1.5223862750000015,24419.25
29/12/2022,37,False,True,False,2,3,,,,,,,0.9866930421052628,16929.105263157893
30/12/2022,33,False,True,False,2,3,,,,,,,0.8916445764705881,14879.764705882353
30/12/2022,51,False,False,False,2,2,,,,,0.11415393461538442,1923.3846153846155,0.09571348076923106,1609.6923076923076
30/12/2022,40,True,False,False,2,2,,,,,0.08305535238095223,1400.5714285714287,0.055954369999999545,962.45
30/12/2022,13,False,False,False,2,2,,,,,0.1327740714285715,2442.0,0.11522968571428548,2159.714285714286
30/12/2022,9,False,False,False,2,2,,,,,0.13787083999999936,2520.2,0.14158153999999995,2617.2
30/12/2022,4,True,False,False,2,2,,,,,0.19799803333333443,3662.0,0.1632989000000009,3195.0
30/12/2022,4,True,False,False,2,2,,,,,0.20933543333333424,3456.6666666666665,0.16040080000000145,3131.5
30/12/2022,4,True,False,False,2,2,,,,,0.19670663333333374,3534.0,0.11134509999999942,2175.5
30/12/2022,4,True,False,False,2,2,,,,,0.2026902666666667,3726.3333333333335,0.15978570000000225,3118.0
30/12/2022,15,False,False,False,2,2,,,,,0.06708686250000007,1209.75,0.059693062500000504,1112.875
30/12/2022,28,True,False,False,2,2,,,,,0.1387446800000004,2484.4,0.12759152857142883,2321.6428571428573
30/12/2022,4,True,False,False,2,2,,,,,0.24165196666666708,4473.666666666667,0.14247174999999856,2827.5
30/12/2022,22,True,False,False,2,2,,,,,0.09858130833333305,1727.25,0.06621840909090922,1185.1818181818182
30/12/2022,7,False,False,False,2,2,,,,,0.12224147499999916,2178.75,0.10757774999999903,1990.75
30/12/2022,20,True,False,False,2,2,,,,,0.13449139090909187,2424.5454545454545,0.12729898999999917,2310.1
30/12/2022,4,True,False,False,2,2,,,,,0.2491841000000008,4504.0,0.18266854999999893,3581.0
30/12/2022,4,True,False,False,2,2,,,,,0.2365195,4079.6666666666665,0.1488298499999985,2924.0
30/12/2022,24,True,False,False,2,2,,,,,0.12330243846153785,2029.8461538461538,0.22012135833333404,2003.25
30/12/2022,51,False,False,False,2,2,,,,,0.1356257076923093,1923.3846153846155,0.11662461153846237,1609.6923076923076
30/12/2022,43,False,False,False,2,2,,,,,0.07170722272727174,1188.6363636363637,0.08162405000000045,1319.9545454545455
30/12/2022,40,True,False,False,2,2,,,,,0.08345507142857096,1431.095238095238,0.06957897500000101,1228.4
30/12/2022,4,True,False,False,2,2,,,,,0.19752873333333318,3362.3333333333335,0.13819144999999722,2346.0
30/12/2022,12,True,False,False,2,2,,,,,0.15737055714285678,2532.285714285714,0.1545470999999997,2585.0
30/12/2022,15,False,False,False,2,2,,,,,0.10077251250000074,1773.25,0.09889008750000094,1748.5
30/12/2022,12,True,False,False,2,2,,,,,0.1519407142857158,2657.714285714286,0.13332498333333476,2375.8333333333335
30/12/2022,13,False,False,False,2,2,,,,,0.1577126142857119,2837.5714285714284,0.12208848571428632,2125.0
30/12/2022,17,False,False,False,2,2,,,,,0.1335874444444411,2374.222222222222,0.1127665777777796,1993.3333333333333
30/12/2022,8,True,False,False,2,2,,,,,0.12596045999999889,2213.6,0.10674142499999917,1857.25
30/12/2022,7,False,False,False,2,2,,,,,0.2440154500000027,4071.75,0.15201380000000242,2733.75
30/12/2022,18,True,False,False,2,2,,,,,0.14127306000000034,2502.2,0.13405934444444748,2366.222222222222
30/12/2022,4,True,False,False,2,2,,,,,0.20213063333333517,3362.3333333333335,0.1393847000000008,2346.0
30/12/2022,16,True,False,False,2,2,,,,,0.09677261111111098,1672.111111111111,0.09459613749999818,1627.625
