Index Game, Round, Player, Move
17,4,1,"[[-1, -1], [1, 1]]"
17,4,2,"[[-1, -1], [1, 4]]"
17,5,1,"[[0, 2], [0, 1]]"
17,6,2,"[[1, 4], [2, 4]]"
17,7,1,"[[0, 1], [1, 0]]"
17,8,2,"[[1, 3], [2, 3]]"
17,9,1,"[[0, 3], [0, 2]]"
17,10,2,"[[2, 1], [3, 2]]"
17,11,1,"[[0, 2], [1, 3]]"
17,12,2,"[[2, 3], [1, 4]]"
17,13,1,"[[1, 0], [2, 0]]"
17,14,2,"[[3, 2], [2, 1]]"
17,15,1,"[[1, 1], [1, 0]]"
17,16,2,"[[1, 4], [2, 3]]"
17,17,1,"[[1, 0], [0, 1]]"
17,18,2,"[[1, 2], [1, 1]]"
17,19,1,"[[0, 1], [1, 2]]"
17,20,2,"[[2, 4], [3, 3]]"
17,21,1,"[[2, 0], [3, 1]]"
17,22,2,"[[1, 1], [0, 0]]"
17,23,1,"[[1, 2], [0, 3]]"
17,24,2,"[[0, 0], [0, 1]]"
17,25,1,"[[0, 3], [0, 4]]"
18,1,1,"[[-1, -1], [1, 2]]"
18,1,2,"[[-1, -1], [3, 1]]"
18,2,1,"[[-1, -1], [0, 2]]"
18,2,2,"[[-1, -1], [0, 1]]"
18,3,1,"[[-1, -1], [0, 3]]"
18,3,2,"[[-1, -1], [1, 3]]"
18,4,1,"[[-1, -1], [2, 1]]"
18,4,2,"[[-1, -1], [1, 1]]"
18,5,1,"[[2, 1], [2, 2]]"
18,6,2,"[[0, 1], [1, 0]]"
18,7,1,"[[0, 2], [0, 1]]"
18,8,2,"[[1, 0], [2, 1]]"
18,9,1,"[[2, 2], [2, 3]]"
18,10,2,"[[2, 1], [2, 2]]"
18,11,1,"[[0, 1], [0, 2]]"
18,12,2,"[[3, 1], [2, 0]]"
18,13,1,"[[0, 3], [1, 4]]"
18,14,2,"[[1, 1], [2, 1]]"
18,15,1,"[[0, 2], [1, 1]]"
18,16,2,"[[2, 0], [1, 0]]"
18,17,1,"[[2, 3], [2, 4]]"
18,18,2,"[[2, 2], [2, 3]]"
18,19,1,"[[1, 2], [2, 2]]"
18,20,2,"[[1, 0], [2, 0]]"
18,21,1,"[[1, 1], [1, 2]]"
18,22,2,"[[2, 1], [1, 1]]"
18,23,1,"[[1, 2], [2, 1]]"
18,24,2,"[[1, 1], [1, 0]]"
18,25,1,"[[2, 2], [1, 1]]"
18,26,2,"[[1, 3], [1, 2]]"
18,27,1,"[[1, 4], [1, 3]]"
18,28,2,"[[1, 2], [2, 2]]"
18,29,1,"[[1, 1], [1, 2]]"
18,30,2,"[[1, 0], [1, 1]]"
18,31,1,"[[2, 4], [1, 4]]"
18,32,2,"[[2, 3], [3, 2]]"
18,33,1,"[[1, 3], [2, 3]]"
18,34,2,"[[2, 0], [3, 0]]"
18,35,1,"[[1, 4], [0, 3]]"
18,36,2,"[[1, 1], [1, 0]]"
18,37,1,"[[0, 3], [0, 2]]"
18,38,2,"[[1, 0], [2, 0]]"
18,39,1,"[[0, 2], [1, 1]]"
18,40,2,"[[2, 0], [3, 1]]"
18,41,1,"[[2, 3], [3, 3]]"
18,42,2,"[[3, 0], [4, 0]]"
18,43,1,"[[1, 2], [2, 3]]"
18,44,2,"[[3, 1], [2, 0]]"
18,45,1,"[[2, 3], [1, 3]]"
18,46,2,"[[2, 0], [3, 0]]"
18,47,1,"[[2, 1], [3, 1]]"
18,48,2,"[[3, 0], [2, 1]]"
18,49,1,"[[1, 1], [2, 0]]"
18,50,2,"[[3, 2], [4, 2]]"
18,51,1,"[[1, 3], [1, 2]]"
18,52,2,"[[2, 1], [3, 2]]"
18,53,1,"[[2, 0], [2, 1]]"
18,54,2,"[[4, 0], [3, 0]]"
18,55,1,"[[1, 2], [1, 3]]"
18,56,2,"[[2, 2], [1, 1]]"
18,57,1,"[[1, 3], [2, 2]]"
18,58,2,"[[1, 1], [2, 0]]"
18,59,1,"[[2, 1], [1, 2]]"
18,60,2,"[[2, 0], [2, 1]]"
18,61,1,"[[1, 2], [1, 3]]"
18,62,2,"[[3, 0], [4, 0]]"
18,63,1,"[[1, 3], [1, 4]]"
18,64,2,"[[2, 1], [2, 0]]"
18,65,1,"[[1, 4], [2, 4]]"
18,66,2,"[[4, 0], [4, 1]]"
18,67,1,"[[2, 2], [2, 1]]"
18,68,2,"[[2, 0], [3, 0]]"
18,69,1,"[[3, 3], [2, 3]]"
18,70,2,"[[3, 2], [2, 2]]"
18,71,1,"[[2, 3], [3, 2]]"
18,72,2,"[[4, 1], [4, 0]]"
18,73,1,"[[2, 4], [1, 3]]"
18,74,2,"[[3, 0], [2, 0]]"
18,75,1,"[[1, 3], [0, 2]]"
18,76,2,"[[4, 0], [4, 1]]"
18,77,1,"[[0, 2], [0, 1]]"
18,78,2,"[[2, 0], [3, 0]]"
18,79,1,"[[2, 1], [1, 1]]"
18,80,2,"[[3, 0], [2, 1]]"
18,81,1,"[[0, 1], [0, 2]]"
18,82,2,"[[2, 1], [1, 2]]"
18,83,1,"[[1, 1], [0, 1]]"
18,84,2,"[[2, 2], [1, 1]]"
18,85,1,"[[3, 1], [2, 1]]"
18,86,2,"[[1, 2], [2, 2]]"
18,87,1,"[[0, 1], [1, 2]]"
18,88,2,"[[4, 1], [3, 0]]"
18,89,1,"[[0, 2], [1, 3]]"
18,90,2,"[[1, 1], [2, 0]]"
18,91,1,"[[1, 2], [1, 1]]"
18,92,2,"[[2, 0], [3, 1]]"
18,93,1,"[[1, 3], [0, 2]]"
18,94,2,"[[3, 0], [4, 0]]"
18,95,1,"[[3, 2], [4, 1]]"
18,96,2,"[[2, 2], [3, 2]]"
18,97,1,"[[2, 1], [3, 0]]"
18,98,2,"[[3, 1], [2, 1]]"
18,99,1,"[[3, 0], [3, 1]]"
18,100,2,"[[4, 0], [3, 0]]"
18,101,1,"[[0, 2], [1, 2]]"
18,102,2,"[[3, 2], [2, 2]]"
18,103,1,"[[1, 1], [0, 1]]"
18,104,2,"[[2, 1], [1, 1]]"
18,105,1,"[[4, 1], [3, 2]]"
18,106,2,"[[3, 0], [2, 1]]"
18,107,1,"[[0, 1], [0, 2]]"
18,108,2,"[[4, 2], [3, 3]]"
18,109,1,"[[0, 2], [0, 1]]"
18,110,2,"[[1, 1], [2, 0]]"
18,111,1,"[[1, 2], [2, 3]]"
18,112,2,"[[3, 3], [3, 4]]"
18,113,1,"[[0, 1], [1, 2]]"
18,114,2,"[[2, 0], [1, 1]]"
18,115,1,"[[3, 1], [4, 2]]"
18,116,2,"[[3, 4], [2, 4]]"
18,117,1,"[[1, 2], [0, 2]]"
18,118,2,"[[1, 1], [1, 0]]"
18,119,1,"[[0, 2], [1, 1]]"
18,120,2,"[[1, 0], [2, 0]]"
18,121,1,"[[4, 2], [3, 3]]"
18,122,2,"[[2, 4], [1, 3]]"
18,123,1,"[[1, 1], [1, 2]]"
18,124,2,"[[2, 0], [1, 0]]"
18,125,1,"[[3, 2], [4, 3]]"
18,126,2,"[[1, 0], [1, 1]]"
18,127,1,"[[3, 3], [2, 4]]"
18,128,2,"[[1, 1], [0, 0]]"
18,129,1,"[[2, 3], [3, 2]]"
18,130,2,"[[0, 0], [0, 1]]"
18,131,1,"[[2, 4], [2, 3]]"
18,132,2,"[[0, 1], [0, 2]]"
18,133,1,"[[2, 3], [3, 3]]"
18,134,2,"[[1, 3], [2, 3]]"
18,135,1,"[[3, 2], [3, 1]]"
18,136,2,"[[0, 2], [1, 1]]"
18,137,1,"[[3, 1], [2, 0]]"
18,138,2,"[[2, 1], [3, 1]]"
18,139,1,"[[1, 2], [2, 1]]"
18,140,2,"[[2, 2], [3, 2]]"
18,141,1,"[[3, 3], [2, 2]]"
18,142,2,"[[1, 1], [1, 2]]"
18,143,1,"[[4, 3], [3, 3]]"
18,144,2,"[[1, 2], [1, 3]]"
18,145,1,"[[2, 0], [1, 0]]"
18,146,2,"[[1, 3], [1, 4]]"
18,147,1,"[[1, 0], [0, 0]]"
18,148,2,"[[3, 1], [4, 1]]"
19,1,1,"[[-1, -1], [2, 0]]"
19,1,2,"[[-1, -1], [1, 0]]"
19,2,1,"[[-1, -1], [2, 1]]"
19,2,2,"[[-1, -1], [1, 1]]"
19,3,1,"[[-1, -1], [2, 2]]"
19,3,2,"[[-1, -1], [2, 3]]"
19,4,1,"[[-1, -1], [3, 0]]"
19,4,2,"[[-1, -1], [3, 1]]"
19,5,1,"[[2, 2], [3, 2]]"
19,6,2,"[[1, 0], [0, 1]]"
19,7,1,"[[2, 0], [1, 0]]"
19,8,2,"[[0, 1], [1, 2]]"
19,9,1,"[[2, 1], [2, 0]]"
19,10,2,"[[3, 1], [2, 1]]"
19,11,1,"[[3, 2], [2, 2]]"
19,12,2,"[[2, 3], [1, 3]]"
19,13,1,"[[2, 0], [3, 1]]"
19,14,2,"[[1, 3], [1, 4]]"
19,15,1,"[[1, 0], [2, 0]]"
19,16,2,"[[1, 2], [1, 3]]"
19,17,1,"[[2, 2], [1, 2]]"
19,18,2,"[[1, 3], [2, 2]]"
19,19,1,"[[1, 2], [0, 1]]"
19,20,2,"[[2, 1], [1, 2]]"
19,21,1,"[[0, 1], [0, 0]]"
19,22,2,"[[2, 2], [1, 3]]"
20,1,1,"[[-1, -1], [1, 2]]"
20,1,2,"[[-1, -1], [3, 2]]"
20,2,1,"[[-1, -1], [1, 0]]"
20,2,2,"[[-1, -1], [2, 2]]"
20,3,1,"[[-1, -1], [1, 1]]"
20,3,2,"[[-1, -1], [1, 3]]"
20,4,1,"[[-1, -1], [0, 0]]"
20,4,2,"[[-1, -1], [0, 1]]"
20,5,1,"[[1, 1], [0, 2]]"
20,6,2,"[[0, 1], [1, 1]]"
20,7,1,"[[1, 0], [0, 1]]"
20,8,2,"[[1, 3], [0, 3]]"
20,9,1,"[[0, 0], [1, 0]]"
20,10,2,"[[3, 2], [2, 1]]"
20,11,1,"[[0, 1], [0, 0]]"
20,12,2,"[[0, 3], [0, 4]]"
20,13,1,"[[1, 2], [0, 3]]"
20,14,2,"[[1, 1], [0, 1]]"
20,15,1,"[[0, 2], [1, 3]]"
20,16,2,"[[0, 1], [1, 2]]"
20,17,1,"[[1, 0], [0, 1]]"
20,18,2,"[[1, 2], [0, 2]]"
20,19,1,"[[0, 1], [1, 2]]"
20,20,2,"[[0, 2], [1, 1]]"
20,21,1,"[[0, 0], [0, 1]]"
20,22,2,"[[1, 1], [0, 2]]"
20,23,1,"[[0, 3], [1, 4]]"
20,24,2,"[[2, 2], [1, 1]]"
20,25,1,"[[0, 1], [0, 0]]"
20,26,2,"[[2, 1], [1, 0]]"
20,27,1,"[[1, 3], [0, 3]]"
20,28,2,"[[0, 4], [1, 3]]"
20,29,1,"[[0, 0], [0, 1]]"
20,30,2,"[[1, 0], [2, 1]]"
20,31,1,"[[1, 4], [0, 4]]"
20,32,2,"[[1, 1], [0, 0]]"
20,33,1,"[[0, 1], [1, 1]]"
20,34,2,"[[0, 0], [0, 1]]"
